,Name,Image_Title,Ingredients
11,Cranberry Pecan Muffins,img16496.jpg,"1/2 cup butter or margarine, softened1 cup sugar2 eggs1 teaspoon vanilla extract1 cup sour cream2 cups all-purpose flour1 teaspoon baking powder1/2 teaspoon baking soda1/2 teaspoon ground nutmeg1/4 teaspoon salt3/4 cup coarsely chopped fresh or frozen cranberries1/2 cup chopped pecans2 tablespoons sugar1/8 teaspoon ground nutmeg"
12,Thai Kale Salad with Coconut Lime Dressing,img19898.jpg,"½ cup culinary coconut milk2 Tablespoons fish sauce, or for vegan option, soy sauce or coconut amines2 Tablespoons lime juicezest of 1 lime2 Tablespoons olive oil1 large red onion, thinly sliced2 orange sweet peppers, diced small2 jalapeño, diced small3 garlic cloves, thinly sliced1 large bunch kale 1½ lbs, stems removed"
13,Shiitake and Chanterelle Pizzas with Goat Cheese,img16481.jpg,"2 1/2 cups unbleached all purpose flour or bread flour1/2 cup white whole wheat flour or bread flour3 tablespoons vital wheat gluten flour or bread flour1 1/2 teaspoons coarse kosher salt1 teaspoon sugar1 cup plus 2 tablespoons warm water (105°F to 115°F)1 1/2 teaspoons active dry yeast3 1/2 tablespoons extra-virgin olive oil, dividedAdditional unbleached all purpose flour (for kneading and shaping)3 tablespoons extra-virgin olive oil plus additional for brushing6 ounces fresh shiitake mushrooms, stemmed, thinly sliced6 ounces fresh chanterelle mushrooms, thinly sliced1 cup (packed) coarsely grated whole-milk mozzarella cheese2/3 cup freshly grated Parmesan cheese6 ounces chilled soft fresh goat cheese, coarsely crumbled2 tablespoons sliced fresh chives"
14,Pico de Gallo,img23070.jpg,3 ripe Roma tomatoes1/2 medium (or 1 small) onion1 jalapeno pepper1/4 cup cilantro1 lime1/2 tsp salt
15,Chinese Five-Spice Chicken with Asian Greens,img04835.jpg,"1 bunch spring onions, stems halved, bulbs halved lengthwise2 small whole chickens, trussed3 cloves garlic1 tbsp Chinese five-spice powder2 tbsp peanut oil2 tbsp soy sauce1 bunch Chinese broccoli1 bunch baby bok choy, halved lengthwise2 tsp sesame oil3.5 oz bean sprouts, rinsed1 fresh long red chili, finely chopped"
16,French Bread Using Poolish,img01446.jpg,"Pinch of dried yeast200g strong bread flour200g cold water400g strong bread flour6g sea salt2g dried yeast200g cold waterOil/oil spray to grease withExtra bread flour and a couple of tbsp of semolina or polenta to dust withYou will also need a clean, smooth cotton tea towel or ""couche""A dough scraper is helpful but a spatula will do"
17,French Peas,img15134.jpg,"1/2 tablespoon unsalted butter1 shallot, finely diced2 1/2 ounces deli ham, cubed the same size as the peasSaltPepper1 pound frozen peas, thawed1/4 cup water1/4 cup heavy cream1 tablespoon chervil, chopped"
18,Spicy Mango Soup,img10058.jpg,"1 tsp ghee (clarified butter)1 tsp whole cumin seeds1 tsp whole coriander seeds1/2 tsp whole fenugreek seeds1/2 tsp whole mustard seeds6 fresh or dried curry leaves1/2 tsp ground turmeric2 small red chilis1 1/2 tbsp chickpea flour1/2 cup plus 2 tbsp plain yogurt1 large ripe mango, cut away from pit, peeled, and puréed1 tsp black sesame seeds"
19,Asparagus Ham Crepes,img11037.jpg,"1/2 cup(s) milk1 egg1 tablespoon(s) canola oil1/4 cup(s) all-purpose flour1/2 teaspoon(s) baking powder1/4 teaspoon(s) salt24 fresh asparagus spears, trimmed8 thin slice(s) deli ham8 slice(s) Swiss cheese3 tablespoon(s) butter3 tablespoon(s) all-purpose flour1 teaspoon(s) chicken bouillon granules1 cup(s) water1/4 cup(s) shredded cheddar cheese1/3 cup(s) half-and-half cream1 4-ounce can(s) mushroom stems and pieces, drained1 tablespoon(s) minced chives"
20,Turnip Greens,img19509.jpg,"1 pound trimmed, chopped turnip greens or collard greens2 cups water1 teaspoon sugar1 (4-ounce) piece salt pork, cut into 4 pieces1 dried red chile1/4 teaspoon salt"
21,Grilled Corn with Bacon Butter and Cotija Cheese,img09190.jpg,"6 ears of corn1 tablespoon olive oil3 tablespoons butter, softened2 slices bacon, fried and crumbled (very small crumbles!)3-4 ounces cotija cheese, crumbledfresh cilantro for garnishblack pepper"
22,"Tandoori Chicken Recipe, Restaurant Style Tandoori Chicken",img05591.jpg,4 Chicken drumsticks1 tsp. light olive oil or butter⅛ tsp. turmeric powder¼ tsp. Kashmiri red chili powder1 tbsp. fresh lemon juiceSalt as needed⅓ cup thick fresh yogurt or curd or dahi (use low fat yogurt to make it low fat)2 tbsps. Olive oil or any oil (use a light oil to make it low fat)1 tsp. kasuri methi1 tsp. coriander powder½ tsp. Kashmiri chili powder¼ tsp. pepper powder1 ½ tsp. ginger garlic paste1 tsp. garam masala powder¼ tsp. Amchur powder (optional)
23,Pizza Margherita,img04378.jpg,"3/4 cup warm water1 1/2 teaspoons dry yeast (from 1 envelope)1 tablespoon extra-virgin olive oil1 teaspoon salt1 3/4 cups (about) unbleached all purpose flour1 teaspoon whole fennel seeds1 teaspoon dried thyme1 (14-to 15-ounces) can whole tomatoes in juice1 (14-to 15-ounces) can whole tomatoes in juice2 large garlic cloves, smashed2 tablespoons olive oil4 basil leaves plus more for sprinkling1/4 teaspoon sugar6 ounces fresh mozzarella, cut into 1/4-inch-thick slices2 small or 1 large heirloom tomato, thinly sliced"
24,Vegan Chili,img04781.jpg,"2 Tb. oil1 large onion, peeled and chopped4 cloves garlic, peeled and minced2 red bell peppers, seeded and chopped3 large sweet potatoes, peeled and chopped3 ears corn, shucked and cut off the cob2 Tb. Masa2 - 15 oz. cans black beans, drained2 - 28 oz. cans crushed tomatoes1 cup water1 1/2 Tb. ground cumin2 Tb. ancho chile powder2 tsp. saltBlack pepper to tasteFresh chopped cilantro for garnish"
25,Shrimp with Artichoke Pesto,img19348.jpg,"2 large artichokes1 cup (packed) fresh basil leaves1 garlic clove1 cup extra-virgin olive oil1 tablespoon freshly grated Pecorino Romano cheese1 tablespoon freshly grated Parmesan cheese32 cooked jumbo shrimp, peeled, deveined"
26,Slow Cooker Beef Stew,img24046.jpg,2 pound(s) beef chuck 1/2 inch cubed1/4 cup(s) all-purpose flour1 teaspoon(s) salt1/2 teaspoon(s) pepper3 clove(s) garlic minced2-3 carrots sliced in half moons2 ribs celery diced1 onion diced3-4 large potatoes 1/2 inch cubed1 1/2 cup(s) beef broth (1 can)1 tablespoon(s) worcestershire sauce
27,Slow Cooker Lasagna,img09077.jpg,"½ lb Italian Sausage½ lbs ground beef½ large onion, diced (about 1 cup)1 TBS minced garlic1.5 24oz jars Bertolli Tomato Basil Sauce4 cups shredded mozzarella cheese, divided2 cups ricotta cheese½ cup grated Parmesan cheese1 egg9-12 uncooked lasagna noodles"
28,Vanilla Custard Crumble with Mixed Berries,img03266.jpg,"45 reduced-fat vanilla wafers2 tablespoons chilled butter, cut into small pieces1 tablespoon vanilla extract1 large egg whiteCooking spray2 cups 2% reduced-fat milk1 vanilla bean, split lengthwise2/3 cup sugar2 tablespoons cornstarch1/8 teaspoon salt2 large egg yolks, lightly beaten1 teaspoon butter1/3 cup raspberries1/3 cup blueberries1/3 cup blackberries"
29,Tex-Mex Black Bean Dip,img08897.jpg,"1 (15-ounce) can black beans, drained1 teaspoon vegetable oil1/2 cup chopped onion2 garlic cloves, minced1/2 cup diced tomato1/3 cup mild picante sauce1/2 teaspoon ground cumin1/2 teaspoon chili powder1/4 cup (1 ounce) shredded reduced-fat Monterey Jack cheese1/4 cup chopped fresh cilantro1 tablespoon fresh lime juice"
30,Shiitake Ragoût on Chèvre Crostini,img04663.jpg,"8 thin slice(s) baguette1 tablespoon(s) butter, melted1/4 teaspoon(s) sea salt4 ounce(s) soft chevre2 tablespoon(s) extra-virgin olive oil1 teaspoon(s) garlic, finely chopped1 tablespoon(s) finely chopped shallots4 teaspoon(s) chopped fresh thyme, divided2 cup(s) shiitake mushrooms, julienned1/2 teaspoon(s) sea salt1/2 teaspoon(s) ground pepper1 tablespoon(s) sherry vinegar1/4 cup(s) sherry wine1/2 teaspoon(s) cornstarch1 tablespoon(s) creme fraiche"
31,Chicken Kolhapuri,img24587.jpg,"1. 2.5 lbs chicken, skin removed and cut into 1-2″  ( Feel free to use any kind of chicken pieces)2. 1/4 cup oil1. 2 tablespoons yogurt2. 1 tablespoon turmeric3. 2 tablespoon red chili powder (more or less)4. 2-3  tablespoons Spice Mix/Goda Masala or Kala Masala Mix (Recipe Below) – May use the store bought powder too.5. salt1. 3 large onions, sliced into thin half moons2. 4 cloves of garlic, sliced or minced3. 3″ fresh ginger, grated or thinly sliced4. 1/2 can coconut milk (about 7 oz/200ml)5. 3/4 cup oil6. 1 teaspoon sugar7. salt8. 1/2 bunch fresh cilantro, tender stalks and leaves9. 2 tablespoons fresh or dried coconut10. 3/4 cup tomato paste + 1/2 cup water1. 1 tablespoon white poppy seeds2. 1/2 teaspoon nutmeg3. 1 teaspoon cumin/jeera4. 3 tablespoons coriander/dhania seeds5. 1.5 teaspoon mustard seeds6. 1 teaspoon fenugreek/methi seeds7. 1 teaspoon peppercorn8. 6 dry red chilli pepper (more or less as per your spice tolerance)9. 4 cloves10. 4 small  green cardamom11. 2″ cinnamon stick12. A pinch of hing/asafoetida1. 2 tablespoons dried coconut2. 1 teaspoon sesame seed"
32,Curry-Spiced Grilled Chicken Legs with Raita (Madras Curry),img25761.jpg,"2 lemons4 bone-in, skin-on whole chicken legs (each about 3/4 lb.)3/4 tsp. kosher salt, plus more, to taste2 garlic cloves1 small yellow onion, chopped2 cups plain yogurt1 Tbs. madras curry1 tsp. sweet Hungarian paprika1/4 tsp. Saigon cinnamon1/8 tsp. cayenne pepperCanola oil for grilling1 cucumber, peeled, seeded and coarsely grated1 Tbs. chopped fresh mint, plus leaves for garnish1 Tbs. chopped fresh mint, plus leaves for garnishFreshly ground black pepper, to taste"
33,Black Bean Soup With Chorizo and Braised Chicken,img16107.jpg,"1 pound dried black beansKosher salt2 pounds chicken drumsticks or thighsFreshly ground black pepper1 tablespoons canola or vegetable oil6 ounces smoked Mexican or Spanish chorizo, cut into 1/4-inch slices8 scallions, finely sliced, greens and whites reserved separately2 Serrano peppers, 1 finely chopped (about 2 tablespoons), the other thinly sliced for garnish4 medium cloves garlic, minced (about 4 teaspoons)2 teaspoons ground cumin2 whole chipotle peppers in adobo sauce, finely minced, plus 1 tablespoon sauce from can1 1/2 quarts low sodium store-bough or homemade chicken broth2 bay leavesSliced avocado, for servingFresh cilantro leaves, for servingSour cream or Mexican-style crema, for servingSour cream or Mexican-style crema, for serving1 lime, cut into 8 wedges"
34,Mediterranean Tilapia,img06842.jpg,"3 tablespoons sun-dried tomatoes packed in oil, drained and chopped1 tablespoon capers, drained2 tilapia fillets1 tablespoon oil from the jar of sun-dried tomatoes1 tablespoon oil from the jar of sun-dried tomatoes1 tablespoon lemon juice2 tablespoons kalamata olives, pitted and chopped"
35,Authentic South Indian Biryani,img08792.jpg,"2 1/2 tablespoons vegetable oil1 pod cardamom1 clove1 cinnamon stick4 medium onions, chopped3 tablespoons chopped fresh garlic1/4 teaspoon chopped fresh ginger1 pound boneless skinless chicken breasts, cut into cubeschili powder to taste1 1/2 medium tomatoes, chopped16 ounces plain yogurt3 tablespoons waterlemon juice, to taste3 cups white rice1 teaspoon buttersalt to taste1 bunch fresh mint, chopped1 bunch chopped cilantro"
36,Sticky Chinese Pork Belly,img00015.jpg,"Slow Cooked Pork Belly:1kg pork belly sliced, chopped in half (each piece being approx. the length of your index finger)1litre hot chicken/veg stock1 thumb sized piece of ginger, peeled and finely chopped3 cloves garlic, peeled and chopped in half1 tbsp. rice wine1 tbsp. caster sugarGlaze:2 tbsp. vegetable oilpinch of salt and pepper1 thumb-sized piece of ginger, peeled and minced1 red chilli2 tbsp Honey2 tbsp. brown sugar3 tbps soy sauce1 tsp lemon grass"
37,Spicy Cucumber Salad with Peanuts,img26242.jpg,"1 1/2 pounds cucumber, peeled, halved lengthwise, and thinly sliced (about 4 cups)2 teaspoons kosher salt1/2 cup rice vinegar1/2 cup water3 tablespoons sugar1/4 teaspoon crushed red pepper2 tablespoons minced red onion1 tablespoon chopped dry-roasted peanuts"
38,Curried Pumpkin Soup with Spicy Pumpkin Seeds,img05532.jpg,"1/4 teaspoon cayenne1/2 teaspoon sugar1/4 teaspoon salt2 teaspoons unsalted butter1/2 cup raw pumpkin seeds2 tablespoons unsalted butter1 small onion, finely chopped (about 1 cup)2 medium Golden Delicious apples, peeled, cored, finely chopped (about 2 1/2 cups)2 tablespoons minced fresh ginger2 tablespoons all-purpose flour1 teaspoon cumin2 tablespoons curry powder1/8 teaspoon chili powder3 cups low-sodium chicken broth2 15-oz. cans pumpkin1 13.6-oz. can light unsweetened coconut milkSalt and pepperSalt and pepperPlain yogurt, for serving, optional"
39,Sour Cream Chicken Enchiladas,img08196.jpg,"Four boneless, skinless chicken breasts1 teaspoon salt1 teaspoon black pepper1 tablespoon olive oil1/2 medium-sized onion, diced (about 3/4 of a cup)2 cloves of garlic, minced2 Serrano chiles, diced2 tablespoons of butter2 tablespoons of flour2 cups of chicken broth2 cups of sour cream1 teaspoon of cumin1/4 cup chopped cilantro8 fresh tomatillos, husks removed and cut in half or one 10 oz. can of tomatillosDash of cayenneSalt and pepper to tasteSalt and pepper to taste12 corn tortillas1 tablespoon of canola oil2 cups shredded Monterey Jack cheese1/2 cup chopped cilantro"
40,Peppermint-Chocolate Ice Cream Sandwiches,img17130.jpg,"1 pint vanilla low-fat, no-sugar-added ice cream, softened1 teaspoon peppermint extract20 chocolate wafers10 hard peppermint candies, crushed (about 1/4 cup)"
41,Easy Coconut Shrimp Curry,img08714.jpg,"1 Tbsp olive oil1 cup finely chopped onion1/2 teaspoon mild yellow curry powderPinch of ground cardamom or the seeds from 1 cardamom pod, crushed1/2 teaspoon Kosher salt1 cup canned coconut milk (use regular coconut milk NOT light)1/4 cup water1 pound raw, peeled, deveined shrimp (with or without tail)Cilantro for garnish"
42,Tuscan Braised Cod,img10480.jpg,"2 Tbsp. Bertolli® Classico™ Olive Oil1 medium onion, sliced1 can (14 oz.) artichoke hearts, drained and quartered1 clove garlic, thinly sliced1/4 cup chopped Kalamata olives1 Tbsp. capers, rinsed, drained and chopped, if desired6 cod fillets (about 1-1/2 lbs.)1 jar Bertolli® Vineyard Premium Collections Portobello Mushroom with Merlot Sauce"
43,Chinese-Style Braised Oxtails with Baby Bok Choy,img26767.jpg,"4 lb. oxtails, most external fat trimmed4 lb. oxtails, most external fat trimmed2 cups homemade beef stock, canned low-sodium chicken broth, or water2 whole star anise6 1/4-inch rounds fresh ginger2 cups halved and sliced onions8 garlic cloves, sliced1/2 cup soy sauce3 Tbs. dark brown sugar1 Tbs. Chinese brown bean paste (also called ground bean paste)12 baby bok choy, washed1/2 cup thinly sliced scallions (white and light green parts)Steamed rice (I use jasmine rice), for serving"
44,Raspberry-Almond Muffins,img27023.jpg,"1/2 cup granulated sugar1/2 cup packed brown sugar2 1/2 tablespoons almond paste1/4 cup butter, softened2 large eggs1/2 cup fat-free buttermilk1 teaspoon vanilla extract1 teaspoon fresh lemon juice2 cups all-purpose flour1/2 teaspoon baking powder1/2 teaspoon baking soda1/4 teaspoon salt1 1/2 cups fresh raspberriesCooking spray2 tablespoons turbinado sugar or granulated sugar"
45,Hyderabadi Chicken Dum Biryani,img13918.jpg,11/2 kg chicken cut into large pieces2 tbsp ginger garlic paste2 tbsp red chilli powder1 tsp turmeric powdersalt as per taste1 bunch coriander leaves1 bunch mint leaves7 - 8 green chillies1 tsp caraway seeds(shahi zeera)3 - 4 cloves(loung)2 cinnamon sticks(dalchini)3 - 4 cardamoms(elaichi)3 - 4 black pepper corns(kali mirch)2 cups fried golden brown onions2 cups yogurt1 tbsp oil1 tbsp lemon juicetsp garam masala powderWater for boiling1 kg basmati rice2-3 cloves(loung)1 cinnamon stick(dalchini)2-3 cardamoms(elaichi)1 tsp caraway seeds(shahi zeera)2 - 3 black pepper corns(kali mirch)1 tbsp lemon juicesalt - to taste2 tbsp oil2 tbsp coriander leaves2 tbsp mint leaves2 tbsp fried onions1 tbsp lemon juice1 cup saffron flavored milk1 tbsp ghee1 cup waterFried onions
46,Herbed Potatoes,img02535.jpg,"1 pound Yukon gold potatoes, peeled and cut into 1/2-inch chunks4 teaspoons olive oil, divided1/2 teaspoon butter2 garlic cloves, minced3/8 teaspoon salt1/4 teaspoon freshly ground black pepper1 1/2 tablespoons small basil leaves1 1/2 tablespoons coarsely chopped fresh flat-leaf parsley"
47,"Chicken Stuffed with Spinach, Feta, and Pine Nuts",img16731.jpg,"5 ounces fresh spinach, chopped1/2 cup (2 ounces) crumbled feta cheese2 tablespoons pine nuts, toasted1 teaspoon fresh thyme, minced2 teaspoons fresh lemon juice2 garlic cloves, minced4 (6-ounce) skinless, boneless chicken breast halves1/4 teaspoon salt1/4 teaspoon freshly ground black pepper1 tablespoon olive oil1/2 cup fat-free, lower-sodium chicken broth"
48,Lemon-Lime Tea Cakes,img24354.jpg,"1/2 cup (1 stick) unsalted butter, room temperature, plus more for pan1 1/3 cups sugar1 teaspoon finely grated lemon zest, plus 1 teaspoon fresh lemon juice1 teaspoon finely grated lemon zest, plus 1 teaspoon fresh lemon juice1 teaspoon finely grated lime zest, plus 1 teaspoon fresh lime juice1 teaspoon finely grated lime zest, plus 1 teaspoon fresh lime juice2 large eggs1 cup all-purpose flour, (spooned and leveled)1/4 teaspoon coarse salt1 lemon (ends cut off), very thinly sliced and seeded"
49,Tortilla Beef Bake,img11770.jpg,"1 1/2 pounds ground beef1 (10.75 ounce) can condensed cream of chicken soup, undiluted2 1/2 cups crushed tortilla chips, divided1 (16 ounce) jar salsa1 1/2 cups shredded cheddar cheese"
50,Chicken and Mushroom Risotto,img23439.jpg,"1 pound Foster Farms chicken thighs, boneless and skinless, trimmed4 cups low-sodium chicken broth4 cups water1 bay leaf2 tbsp olive oil, divided1 tsp salt, divided1 tsp freshly ground black pepper, divided1 tbsp fresh thyme leaves, minced, divided8 oz Cremini mushrooms½ bunch Swiss Chard, preferably red or rainbow, leaves chopped and stems reserved1 large onion, diced1 tbsp fresh garlic, pressed or minced2 cups Arborio rice1 cup dry Washington state white wine, such as sauvignon blanc1 cup shredded Parmesan cheese1 large lemon, juiced"
51,Summer Grilled Pork Chops,img09063.jpg,"1 1/2 cups lemon juice1 1/2 cups honey2 tablespoons Worcestershire sauce1 clove garlic, minced1/4 teaspoon dried basil4 center-cut pork chops, 1/2-inch thicksalt and ground black pepper to taste"
52,Noodle Salad with Shrimp and Chile Dressing,img23906.jpg,"1/4 cup fresh lime juice (about 2 limes)1 tablespoon brown sugar1 tablespoon Thai fish sauce1 tablespoon chile paste2 cups boiling water3 ounces dried bean thread vermicelli1/2 pound medium shrimp, cooked and peeled1/2 cup torn mint leaves1/4 cup thinly sliced green onions1/4 cup sliced peeled fresh lemon grass1 Thai, hot red, or serrano chile, seeded and chopped4 romaine lettuce leaves1/2 cup cilantro sprigs4 teaspoons finely chopped unsalted, dry-roasted peanuts"
53,Brown Rice,img02393.jpg,"1 1/2 cups uncooked long-grain white rice1 (14 ounce) can beef broth1 (10.5 ounce) can condensed French onion soup1/4 cup butter, melted1 tablespoon Worcestershire sauce1 tablespoon dried basil leaves"
54,Ancho Chipotle Chili Lime Grilled Shrimp,img13629.jpg,"1 lb medium raw shrimp1 tsp ground ancho chili powder1 tsp ground chipotle powder1 tsp garlic powder1 tsp onion powder2 tsp kosher salt1 tsp dried Mexican oregano½ tsp ground cumin2 limes, juiced, separated2 tbsp olive oil1 tbsp honeymixed salad greens½ red onionrice wine vinegar1 carrotPersian cucumberorange bell pepper"
55,Spaghetti with Scallion Sauce,img00789.jpg,"1 lb spaghetti1/3 cup olive oil4 cups chopped scallions (from 4 bunches)2 garlic cloves, finely chopped1 teaspoon finely grated fresh lemon zest3/4 teaspoon salt1/2 teaspoon black pepper1 oz finely grated Parmigiano-Reggiano (1/2 cup)"
56,Hatfield's Croque Madame Sandwich,img19893.jpg,"8 pieces brioche or pain de mie4 tablespoons butter, softened8 ounces Japanese hamachi, very fresh8 slices prosciutto1/2 cup white wine1 shallot, sliced thin1/2 pound butter, cut into small cubes4 quail eggs1 tablespoon chives, chopped finefleur de sel, to taste"
57,Sweet Corn Quesadillas,img09162.jpg,3 cups fresh corn1/2 cup chopped red bell pepper1/2 cup chopped scallion2 tablespoons chopped cilantro2 tablespoons lime juice1/4 teaspoon chile powderSalt4 large flour tortillas2 cups shredded monterey jackLime wedges
58,Snowball Cupcakes,img17870.jpg,"1 cup I Can't Believe It's Not Butter!® Spread, divided1/2 cup granulated sugar1/2 cup firmly packed light brown sugar1 tsp. baking powder1/2 tsp. baking soda1/2 tsp. salt2 large eggs1-1/2 cups all-purpose flour2-1/2 tsp. vanilla extract, divided3/4 cup buttermilk2-1/2 cups confectioners sugar2 Tbsp. heavy or whipping creamWhite sprinkles or shredded coconut (optional)"
59,Seared Scallops with Meyer Lemon Beurre Blanc,img06557.jpg,"2/3 cup fresh Meyer lemon juice (about 6 lemons)1/3 cup dry white wine3 tablespoons minced shallots2 thyme sprigs3 tablespoons chilled butter, cut into pieces3/4 teaspoon sugar1/2 teaspoon salt, divided1/4 teaspoon freshly ground black pepper, dividedCooking spray1 1/2 pounds dry sea scallops1 1/2 teaspoons chopped fresh thyme (optional)"
60,Sweet Potato Salad,img09932.jpg,"2 pounds sweet potatoes, peeled and cut into 1-inch cubesVegetable cooking spray3/4 teaspoon salt, divided2 celery ribs, diced1 jalapeño pepper, seeded and finely chopped1/2 cup diced onion1/3 cup diced green bell pepper3 tablespoons brown sugar2 tablespoons chopped fresh or 1 tablespoon dried parsley flakes5 tablespoons white vinegar1 tablespoon vegetable oil1 teaspoon hot sauce1 teaspoon prepared mustard3 slices peppered or regular bacon, cooked and crumbled (optional)Garnish: fresh flat-leaf parsley sprigs"
61,Make-Ahead Pork Dumplings,img06258.jpg,"1 1/2 pounds lean boneless pork loin chops, cut into chunks1 (12-ounce) package 50%-less-fat ground pork sausage1 1/2 teaspoons salt15 water chestnuts, finely chopped1 to 2 tablespoons minced fresh ginger1/2 cup cornstarch2 teaspoons lite soy sauce1/2 cup fat-free reduced-sodium chicken broth4 tablespoons sugar1 teaspoon teriyaki sauce1 teaspoon sesame oil1/4 cup chopped fresh parsley4 green onions, diced2 (16-ounce) packages wonton skinsOyster sauce (optional)Thai chili sauce (optional)"
62,Frozen Hawaiian Pie,img25620.jpg,"1 (14 ounce) can sweetened condensed milk1 (12 ounce) container frozen whipped topping, thawed1 (20 ounce) can crushed pineapple, drained1/2 cup chopped walnuts1/2 cup chopped maraschino cherries2 tablespoons lemon juice2 (9 inch) graham cracker crustsfresh mintadditional walnutsadditional maraschino cherries"
63,Grilled Steak and Pepper Fajitas,img17475.jpg,"1 pound lean, hormone-free ribeye steak, strip, sirloin or flank (such as Laura's Lean Beef))1 teaspoon freshly ground black pepper½ teaspoon cumin½ teaspoon chili powder1 green bell pepper, cut into large strips1 red bell pepper, cut into large strips1 medium-hot Poblano pepper, dark green and triangular, cut into large strips1 medium yellow or purple onion, horizontally sliced (rings kep intact)8 fat-free flour or gluten-free tortillasPico de gallo or salsa, optional, for servingDairy-free guacamole, optional, for serving"
